art,jahr,standort,menge,letzte aktualisierung,bearbeitet,lagerbehälter
salvia pratensis,2020,ursula albrecht,1 gefäss,Oct-21,yes,plastikkiste
salvia pratensis,2018,ursula albrecht,4 esslöffel,Oct-21,yes,plastikkiste
salvia pratensis,2014,rubigen,1/3 klein gefäss,Oct-21,yes,plastikkiste
salvia pratensis,2016,ursula albrecht,1/2 gefäss,Oct-21,yes,plastikkiste
salvia pratensis,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
salvia pratensis,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
salvia pratensis,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
salvia sclarea,2020,volo,1/5 gefäss,Oct-21,yes,plastikkiste
salvia verticillata,2016,gad,1  esslöffel,Oct-21,yes,plastikkiste
salvia verticillata,2019,orvin,1 klein package,Oct-21,yes,plastikkiste
sanguisorba minor,2021,rubigen,3 esslöffel,Oct-21,yes,plastikkiste
sanguisorba minor,?,rubigen,1 klein gefäss,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,jorat,1/2 klein gefäss,Oct-21,yes,plastikkiste
sanguisorba officinalis,2015,gad,3 esslöffel,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,volo,1  esslöffel,Oct-21,yes,plastikkiste
sanguisorba officinalis,2019,volo,1  esslöffel,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,lobsigen,1/2 sehr klein gefäss,Oct-21,yes,plastikkiste
sanguisorba officinalis,2020,volo,5 esslöffel,Oct-21,yes,plastikkiste
saponaria ocymoides,2012,gad,1 sehr klein gefäss,Oct-21,yes,plastikkiste
saponaria officinalis,2019,rubigen,5 esslöffel,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,volo,1/3 gefäss,Oct-21,yes,plastikkiste
scabiosa columbaria,2019,ursula albrecht,1/5 gefäss,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,volo,1 klein gefäss,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,volo,1/4 gefäss,Oct-21,yes,plastikkiste
scabiosa columbaria,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
sedum album,2015,gad,1  esslöffel,Oct-21,yes,plastikkiste
sedum album,2020,volo,1  esslöffel,Oct-21,yes,plastikkiste
sedum reflexum,2020,jorat,1 teelöffel,Oct-21,yes,plastikkiste
sedum telephium,2020,volo,1/3 klein gefäss,Oct-21,yes,plastikkiste
silene acaulis,2020,greina,2 esslöffel,Oct-21,yes,plastikkiste
silene armeria,2017,gad,1  esslöffel,Oct-21,yes,plastikkiste
silene dioica,2019,volo,2 esslöffel,Oct-21,yes,plastikkiste
silene dioica,2015,gad,1  esslöffel,Oct-21,yes,plastikkiste
silene dioica,2017,jorat,1  esslöffel,Oct-21,yes,plastikkiste
silene flos-cuculi,2020,ursula albrecht,4 esslöffel,Oct-21,yes,plastikkiste
silene flos-cuculi,2019,volo,1 esslöffel,Oct-21,yes,plastikkiste
silene nutans,2019,rubigen,3 esslöffel,Oct-21,yes,plastikkiste
silene vulgaris,2015,gad,1/6 gefäss,Oct-21,yes,plastikkiste
silybum marianum,2015,gad,1/2 gefäss,Oct-21,yes,plastikkiste
stachys recta,2019,volo,1  esslöffel,Oct-21,yes,plastikkiste
stachys recta,2020,HR,1/5 gefäss,Oct-21,yes,plastikkiste
stachys sylvatica,2019,evilard,2 esslöffel,Oct-21,yes,plastikkiste
stachys sylvatica,2019,zyst,1  esslöffel,Oct-21,yes,plastikkiste
succisa pratensis,2018,volo,1/3 gefäss,Oct-21,yes,plastikkiste
succisa pratensis,2019,volo,3 esslöffel,Oct-21,yes,plastikkiste
tanacetum parthenium,2020,volo,1 gefäss,Oct-21,yes,plastikkiste
tanacetum vulgare,2015,gad,1  esslöffel,Oct-21,yes,plastikkiste
teucrium chamaedrys,2020,lobsigen,2 esslöffel,Oct-21,yes,plastikkiste
teucrium chamaedrys,2020,?,1/4 gefäss,Oct-21,no,plastikkiste
teucrium chamaedrys,2019,volo,4 esslöffel,Oct-21,yes,plastikkiste
teucrium chamaedrys,2015,ursula albrecht,1 big container,Oct-21,yes,plastikkiste
thalictrum aquilegifolium,2019,volo,1  esslöffel,Oct-21,yes,plastikkiste
thalictrum aquilegifolium,2020,volo,1 teelöffel,Oct-21,yes,plastikkiste
thymus pulegioides,2020,volo,1  esslöffel,Oct-21,yes,plastikkiste
thymus pulegioides,2016,gad,1 teelöffel,Oct-21,yes,plastikkiste
thymus pulegioides,2019,ursula albrecht,1 teelöffel,Oct-21,yes,plastikkiste
thymus pulegioides,2020,jorat,1  esslöffel,Oct-21,yes,plastikkiste
thymus pulegioides,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
thymus pulegioides,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
thymus vulgaris,2016,gad,1 teelöffel,Oct-21,yes,plastikkiste
tragopogon dubius,2019,rubigen,1/2 sehr klein gefäss,Oct-21,yes,plastikkiste
tragopogon pratensis,2019,rubigen,1/2 klein gefäss,Oct-21,yes,plastikkiste
tragopogon pratensis,2017,gad,1 big container,Oct-21,yes,plastikkiste
trifolium rubens,2020,volo,1  esslöffel,Oct-21,yes,plastikkiste
trollius europaeus,2020,engstlen,1 sehr klein gefäss,Oct-21,yes,plastikkiste
trollius europaeus,2020,metschalp,2 esslöffel,Oct-21,yes,plastikkiste
valeriana officinalis,2020,volo,2 esslöffel,Oct-21,yes,plastikkiste
verbascum blattaria,2015,gad,1 teelöffel,Oct-21,yes,plastikkiste
verbascum blattaria,2016,gad,1/2 sehr klein gefäss,Oct-21,yes,plastikkiste
verbascum densiflorum,2019,ursula albrecht,1 sehr klein gefäss,Oct-21,yes,plastikkiste
verbascum densiflorum,2018,eschenbach,1  esslöffel,Oct-21,yes,plastikkiste
verbascum densiflorum,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
verbascum lychnitis,2019,ursula albrecht,1/2 sehr klein gefäss,Oct-21,yes,plastikkiste
verbascum nigrum,2015,rubigen,1/2 klein gefäss,Oct-21,no,plastikkiste
verbascum nigrum,2019,rubigen,1/5 gefäss,Oct-21,yes,plastikkiste
verbascum nigrum,2016,gad,2 esslöffel,Oct-21,yes,plastikkiste
verbascum nigrum,2018,ursula albrecht,1 sehr klein gefäss,Oct-21,yes,plastikkiste
verbascum nigrum,2018,volo,2 esslöffel,Oct-21,yes,plastikkiste
verbascum nigrum,2019,rubigen,1/5 gefäss,Oct-21,yes,plastikkiste
verbascum nigrum,2020,ursula albrecht,1 bag,Oct-21,no,papiertüte
verbascum phoeniceum,2018,evilard,1 teelöffel,Oct-21,yes,plastikkiste
verbena officinalis,2019,volo,1 teelöffel,Oct-21,yes,plastikkiste
verbena officinalis,2017,gad,1  esslöffel,Oct-21,yes,plastikkiste
veronica spicata,2015,gad,1  esslöffel,Oct-21,yes,plastikkiste
veronica spicata,2015,gad,2 esslöffel,Oct-21,yes,plastikkiste
veronica teucrium,2020,volo,2 esslöffel,Oct-21,yes,plastikkiste
veronica teucrium,2020,ursula albrecht,1/3 gefäss,Oct-21,no,plastikkiste
